year,gender,series,ours,pub,diff_abs,fail
1965,All,epop16_24,0.5020495033895633,0.5020495,3.3895632967073652e-9,FALSE
1965,All,epop25_54,0.6766203323528973,0.6766203,3.235289736114311e-8,FALSE
1965,All,epop55_64,0.5995097746158905,0.5995098,2.538410948105252e-8,FALSE
1965,All,epop65,0.1723841211564938,0.1723841,2.1156493779095342e-8,FALSE
1965,All,epop_all,0.5619328421917982,0.5619329,5.7808201781028856e-8,FALSE
1966,All,epop16_24,0.5217308425467022,0.5217308,4.254670216141676e-8,FALSE
1966,All,epop25_54,0.6847195934365639,0.6847196,6.563436127926536e-9,FALSE
1966,All,epop55_64,0.606220967836773,0.606221,3.216322697063845e-8,FALSE
1966,All,epop65,0.16714648602878915,0.1671465,1.3971210854890614e-8,FALSE
1966,All,epop_all,0.5693044177710443,0.5693044,1.7771044302783423e-8,FALSE
1967,All,epop16_24,0.5271551243448199,0.5271551,2.4344819937738293e-8,FALSE
1967,All,epop25_54,0.6897495046283973,0.6897495,4.6283973320626615e-9,FALSE
1967,All,epop55_64,0.6086655112651647,0.6086655,1.1265164689966412e-8,FALSE
1967,All,epop65,0.16700870819235675,0.1670087,8.192356737435347e-9,FALSE
1967,All,epop_all,0.5726903115519073,0.5726903,1.1551907319606869e-8,FALSE
1968,All,epop16_24,0.5271303780492225,0.5271304,2.195077752897845e-8,FALSE
1968,All,epop25_54,0.6946058818375631,0.6946059,1.8162436887791955e-8,FALSE
1968,All,epop55_64,0.6100261155898717,0.6100261,1.558987172689541e-8,FALSE
1968,All,epop65,0.16713927363943723,0.1671393,2.636056276039689e-8,FALSE
1968,All,epop_all,0.5750588912537967,0.5750589,8.746203317144818e-9,FALSE
1969,All,epop16_24,0.5400412832802715,0.5400413,1.671972849059955e-8,FALSE
1969,All,epop25_54,0.6997252747252747,0.6997253,2.5274725312662838e-8,FALSE
1969,All,epop55_64,0.6089793641940882,0.6089793,6.419408815627747e-8,FALSE
1969,All,epop65,0.16910542959747013,0.1691054,2.9597470141418114e-8,FALSE
1969,All,epop_all,0.5799374674309536,0.5799375,3.256904634874047e-8,FALSE
1970,All,epop16_24,0.5319683667314523,0.5319684,3.326854769447607e-8,FALSE
1970,All,epop25_54,0.6960690453395825,0.6960691,5.466041752555384e-8,FALSE
1970,All,epop55_64,0.6013150684931506,0.6013151,3.150684935171455e-8,FALSE
1970,All,epop65,0.1640448255905719,0.1640448,2.5590571911537907e-8,FALSE
1970,All,epop_all,0.5739630294276419,0.573963,2.942764187885416e-8,FALSE
1971,All,epop16_24,0.5231294035132464,0.5231294,3.5132464715204037e-9,FALSE
1971,All,epop25_54,0.6902406322771858,0.6902406,3.22771858130011e-8,FALSE
1971,All,epop55_64,0.5924869490339594,0.592487,5.0966040610056496e-8,FALSE
1971,All,epop65,0.15665258167577037,0.1566526,1.8324229633659428e-8,FALSE
1971,All,epop_all,0.5660478285987347,0.5660478,2.8598734713725094e-8,FALSE
1972,All,epop16_24,0.5434416439530824,0.5434417,5.6046917662477824e-8,FALSE
1972,All,epop25_54,0.6952482191175658,0.6952482,1.911756586370217e-8,FALSE
1972,All,epop55_64,0.581049087178408,0.5810491,1.2821592010325844e-8,FALSE
1972,All,epop65,0.14997752584527793,0.1499775,2.5845277917824205e-8,FALSE
1972,All,epop_all,0.5700358731326196,0.5700359,2.6867380431561116e-8,FALSE
1973,All,epop16_24,0.5699033758797567,0.5699034,2.4120243247161e-8,FALSE
1973,All,epop25_54,0.7051427798078225,0.7051428,2.019217748561175e-8,FALSE
1973,All,epop55_64,0.568746434313573,0.5687464,3.4313572983002416e-8,FALSE
1973,All,epop65,0.14154691255088528,0.1415469,1.2550885275519619e-8,FALSE
1973,All,epop_all,0.5783115329181736,0.5783116,6.708182642700677e-8,FALSE
1974,All,epop16_24,0.5720430736817463,0.5720431,2.6318253687485083e-8,FALSE
1974,All,epop25_54,0.7081003736188028,0.7081004,2.638119711573239e-8,FALSE
1974,All,epop55_64,0.5617666649587539,0.5617667,3.504124601594327e-8,FALSE
1974,All,epop65,0.13535449988063977,0.1353545,1.1936021615532866e-10,FALSE
1974,All,epop_all,0.5781872443609524,0.5781872,4.43609523559374e-8,FALSE
1975,All,epop16_24,0.5423414160454688,0.5423414,1.6045468842484922e-8,FALSE
1975,All,epop25_54,0.6933607742506936,0.6933607,7.42506935935694e-8,FALSE
1975,All,epop55_64,0.5456057246522878,0.5456057,2.4652287877735546e-8,FALSE
1975,All,epop65,0.13012775842044136,0.1301278,4.157955862948981e-8,FALSE
1975,All,epop_all,0.5605309722956782,0.560531,2.7704321836630186e-8,FALSE
1976,All,epop16_24,0.5572320353833664,0.557232,3.538336645902973e-8,FALSE
1976,All,epop25_54,0.7060697561350086,0.7060698,4.38649914169531e-8,FALSE
1976,All,epop55_64,0.5405994550408719,0.5405995,4.495912808710756e-8,FALSE
1976,All,epop65,0.12439433048046009,0.1243943,3.048046008646832e-8,FALSE
1976,All,epop_all,0.56836739268263,0.5683674,7.317369932202666e-9,FALSE
1977,All,epop16_24,0.5757926661152467,0.5757927,3.388475333654384e-8,FALSE
1977,All,epop25_54,0.7187413641502324,0.7187414,3.584976759896108e-8,FALSE
1977,All,epop55_64,0.5412268327090529,0.5412268,3.270905291063997e-8,FALSE
1977,All,epop65,0.12333495596760632,0.123335,4.40323936756748e-8,FALSE
1977,All,epop_all,0.5785932567878567,0.5785933,4.321214330804679e-8,FALSE
1978,All,epop16_24,0.59825077652444,0.5982507,7.652444000694203e-8,FALSE
1978,All,epop25_54,0.736099646408023,0.7360997,5.3591977078326636e-8,FALSE
1978,All,epop55_64,0.5461077844311377,0.5461078,1.5568862310466614e-8,FALSE
1978,All,epop65,0.12716912716912718,0.1271691,2.716912717026787e-8,FALSE
1978,All,epop_all,0.5932308072385893,0.5932308,7.238589394553685e-9,FALSE
1979,All,epop16_24,0.6055120237773575,0.605512,2.3777357416321365e-8,FALSE
1979,All,epop25_54,0.7460723507975964,0.7460724,4.9202403595849376e-8,FALSE
1979,All,epop55_64,0.5462046204620462,0.5462046,2.0462046168567838e-8,FALSE
1979,All,epop65,0.12618336348718812,0.1261834,3.651281188510325e-8,FALSE
1979,All,epop_all,0.5994383147014758,0.5994383,1.470147581450476e-8,FALSE
1980,All,epop16_24,0.5862875894346119,0.5862876,1.0565388119943009e-8,FALSE
1980,All,epop25_54,0.7433499805192505,0.74335,1.9480749458011815e-8,FALSE
1980,All,epop55_64,0.5383828996282528,0.5383829,3.717471885877899e-10,FALSE
1980,All,epop65,0.1215605749486653,0.1215606,2.5051334701098327e-8,FALSE
1980,All,epop_all,0.591986741938753,0.5919867,4.1938753025938524e-8,FALSE
1981,All,epop16_24,0.576416266133823,0.5764163,3.386617697387351e-8,FALSE
1981,All,epop25_54,0.7466759162909007,0.7466759,1.6290900739512892e-8,FALSE
1981,All,epop55_64,0.5297389225960655,0.5297389,2.2596065463176274e-8,FALSE
1981,All,epop65,0.11851106639839036,0.1185111,3.360160963361558e-8,FALSE
1981,All,epop_all,0.5901193205196027,0.5901193,2.0519602683677363e-8,FALSE
1982,All,epop16_24,0.552857298951049,0.5528573,1.0489510371414212e-9,FALSE
1982,All,epop25_54,0.7350142021342809,0.7350142,2.13428097417534e-9,FALSE
1982,All,epop55_64,0.520973116071021,0.5209731,1.607102106948588e-8,FALSE
