table,column,ours,pub,diff_abs,fail
B,E/P_1999,0.6102203677148872,0.6102203677148657,2.1538326677728037e-14,FALSE
B,E/P_1999,0.8992057227141691,0.8992057227141422,2.6867397195928788e-14,FALSE
B,E/P_1999,0.9017659259615742,0.9017659259615876,1.3322676295501878e-14,FALSE
B,E/P_1999,0.8647589289232188,0.8647589289231974,2.142730437526552e-14,FALSE
B,E/P_1999,0.6607847987715381,0.6607847987715508,1.27675647831893e-14,FALSE
B,E/P_1999,0.16421412953225195,0.16421412953225045,1.4988010832439613e-15,FALSE
B,E/P_1999,0.7778911507716694,0.7778911507716598,9.547918011776346e-15,FALSE
B,E/P_1999,0.42448398252666497,0.4244839825266106,5.434541705540141e-14,FALSE
B,E/P_1999,0.8151634395373503,0.8151634395376027,2.524647157997606e-13,FALSE
B,E/P_1999,0.8919140696141526,0.8919140696141008,5.184741524999481e-14,FALSE
B,E/P_1999,0.9133436286024906,0.9133436286024892,1.4432899320127035e-15,FALSE
B,E/P_1999,0.9329531138609704,0.9329531138609731,2.7755575615628914e-15,FALSE
B,E/P_1999,0.7779271308856713,0.7779271308855753,9.603429163007604e-14,FALSE
B,E/P_1999,0.890814926384312,0.8908149263842717,4.030109579389318e-14,FALSE
B,E/P_1999,0.9176128579968316,0.917612857996889,5.739853037312059e-14,FALSE
B,E/P_1999,0.954277645399182,0.9542776453990826,9.947598300641403e-14,FALSE
B,E/P_1999,0.6995098285142733,0.6995098285143855,1.1213252548714081e-13,FALSE
B,E/P_1999,0.8401327830656411,0.84013278306571,6.894484982922222e-14,FALSE
B,E/P_1999,0.8759056696786456,0.8759056696785081,1.3744561044859438e-13,FALSE
B,E/P_1999,0.9342836762887832,0.9342836762887232,5.995204332975845e-14,FALSE
B,E/P_1999,0.5142062569320883,0.514206256931923,1.653122083666858e-13,FALSE
B,E/P_1999,0.6396684461501798,0.6396684461501225,5.728750807065808e-14,FALSE
B,E/P_1999,0.6813639388062943,0.6813639388061967,9.758860386455126e-14,FALSE
