panel,age_group,gender,ours,pub,diff_abs,fail
s_i x dE/P_i,16-24,Overall,0.4110821568725426,0.411081243312368,9.135601746201871e-7,FALSE
s_i x dE/P_i,16-24,Male,0.3788710409890462,0.37887105087908735,9.890041119398063e-9,FALSE
s_i x dE/P_i,16-24,Female,0.4617652138111065,0.46176391905076647,1.2947603400537133e-6,FALSE
s_i x dE/P_i,25-54,Overall,0.28279832303250113,0.2827987577315553,4.3469905414150745e-7,FALSE
s_i x dE/P_i,25-54,Male,0.2786193774865682,0.2786197218073118,3.4432074363932585e-7,FALSE
s_i x dE/P_i,25-54,Female,0.2973549931140835,0.2973554590375477,4.659234641990473e-7,FALSE
s_i x dE/P_i,55-64,Overall,-0.17173060582435423,-0.17173056345747323,4.236688100345276e-8,FALSE
s_i x dE/P_i,55-64,Male,-0.07513419422806389,-0.07513347153924005,7.226888238398566e-7,FALSE
s_i x dE/P_i,55-64,Female,-0.3487040334591503,-0.3487040883769239,5.491777360644434e-8,FALSE
s_i x dE/P_i,65+,Overall,-0.2426156356263128,-0.24261554923402157,8.639229123752479e-8,FALSE
s_i x dE/P_i,65+,Male,-0.15602962449458815,-0.15602907591417187,5.485804162874697e-7,FALSE
s_i x dE/P_i,65+,Female,-0.3857938919157594,-0.3857953293677022,1.4374519428095311e-6,FALSE
(E/P_i - E/P) x ds_i,16-24,Overall,-0.08544751562294195,-0.08544771250358851,1.9688064656353532e-7,FALSE
(E/P_i - E/P) x ds_i,16-24,Male,-0.06580252865354966,-0.06580269162901119,1.6297546152899134e-7,FALSE
(E/P_i - E/P) x ds_i,16-24,Female,-0.03765623536322703,-0.037657759733106734,1.5243698797060001e-6,FALSE
(E/P_i - E/P) x ds_i,25-54,Overall,0.21976339288268404,0.21976407338779136,6.805051073199841e-7,FALSE
(E/P_i - E/P) x ds_i,25-54,Male,0.27849466461174177,0.27849368103029865,9.83581443125825e-7,FALSE
(E/P_i - E/P) x ds_i,25-54,Female,0.5291704486472676,0.5291717810719795,1.3324247118973176e-6,FALSE
(E/P_i - E/P) x ds_i,55-64,Overall,0.226775206257985,0.2267740167549652,1.1895030198050272e-6,FALSE
(E/P_i - E/P) x ds_i,55-64,Male,0.08074367202671781,0.08074322671913976,4.4530757804805976e-7,FALSE
(E/P_i - E/P) x ds_i,55-64,Female,0.20683691572523555,0.20683835331885567,1.4375936201183048e-6,FALSE
(E/P_i - E/P) x ds_i,65+,Overall,0.6248023531269082,0.6248010021661404,1.3509607678097169e-6,FALSE
(E/P_i - E/P) x ds_i,65+,Male,0.45764545028929127,0.4576446553066929,7.949825983621928e-7,FALSE
(E/P_i - E/P) x ds_i,65+,Female,0.6966352899762968,0.696637081799012,1.7918227152025068e-6,FALSE
ds_i x dE/P_i,16-24,Overall,-0.05088710659235458,-0.05088602969961115,1.0768927434304243e-6,FALSE
ds_i x dE/P_i,16-24,Male,-0.0469452509724152,-0.046945486423338977,2.354509237786906e-7,FALSE
ds_i x dE/P_i,16-24,Female,-0.0577819100883024,-0.05778097755956317,9.325287392281112e-7,FALSE
ds_i x dE/P_i,25-54,Overall,-0.04019446930174984,-0.040193647728162446,8.215735873909336e-7,FALSE
ds_i x dE/P_i,25-54,Male,-0.02799031086459471,-0.027990458525059533,1.476604648241453e-7,FALSE
ds_i x dE/P_i,25-54,Female,-0.05864144295860371,-0.058642558146854255,1.1151882505430755e-6,FALSE
ds_i x dE/P_i,55-64,Overall,-0.0939117932112941,-0.09391131873580918,4.744754849156374e-7,FALSE
ds_i x dE/P_i,55-64,Male,-0.04404890578164661,-0.044048429757663085,4.760239835227553e-7,FALSE
ds_i x dE/P_i,55-64,Female,-0.18521019903942432,-0.18521228716205587,2.0881226315550006e-6,FALSE
ds_i x dE/P_i,65+,Overall,-0.08043430599358467,-0.08043427199415405,3.399943061810351e-8,FALSE
ds_i x dE/P_i,65+,Male,-0.05842339041004109,-0.0584227219540459,6.684559951883329e-7,FALSE
ds_i x dE/P_i,65+,Female,-0.11797514844767118,-0.11797359393195483,1.5545157163454615e-6,FALSE
Total,NA,Overall,1,1,0,FALSE
Total,NA,Male,1,1,0,FALSE
Total,NA,Female,1,1,0,FALSE
