panel,age_group,education,gender,ours,pub,diff_abs,fail
s_i x dE/P_i,16-24,Not In School,Overall,0.07510991082549028,0.07511006835068415,1.5752519387512987e-7,FALSE
s_i x dE/P_i,16-24,Not In School,Male,0.1099966983979188,0.10999576729530168,9.311026171188175e-7,FALSE
s_i x dE/P_i,16-24,Not In School,Female,0.01137815433359997,0.011377629503153243,5.248304467270204e-7,FALSE
s_i x dE/P_i,16-24,In School,Overall,0.2582126857872315,0.258211085912034,1.5998751974888314e-6,FALSE
s_i x dE/P_i,16-24,In School,Male,0.21346863946008615,0.2134675257489536,1.113711132538775e-6,FALSE
s_i x dE/P_i,16-24,In School,Female,0.34009215131792653,0.3400935546437018,1.4033257752510409e-6,FALSE
s_i x dE/P_i,25-54,Less than HS,Overall,0.01744488717958542,0.017443908855315247,9.783242701719153e-7,FALSE
s_i x dE/P_i,25-54,Less than HS,Male,0.00944908539745028,0.009449278088698675,1.9269124839488283e-7,FALSE
s_i x dE/P_i,25-54,Less than HS,Female,0.07098402585549295,0.07098429084557192,2.649900789769566e-7,FALSE
s_i x dE/P_i,25-54,HS,Overall,0.25272846216608885,0.2527278943343833,5.678317055446414e-7,FALSE
s_i x dE/P_i,25-54,HS,Male,0.1863370655559092,0.1863368292338804,2.3632202880707887e-7,FALSE
s_i x dE/P_i,25-54,HS,Female,0.5144341506446176,0.5144364493298138,2.298685196189254e-6,FALSE
s_i x dE/P_i,25-54,Some College,Overall,0.15165753463281234,0.15165813696756797,6.023347556283198e-7,FALSE
s_i x dE/P_i,25-54,Some College,Male,0.10989679588519936,0.10989606358463055,7.32300568809241e-7,FALSE
s_i x dE/P_i,25-54,Some College,Female,0.2421781799191279,0.24217984680328752,1.6668841596179096e-6,FALSE
s_i x dE/P_i,25-54,College,Overall,0.07330610309270541,0.07330669596603082,5.928733254056961e-7,FALSE
s_i x dE/P_i,25-54,College,Male,0.05222722755792827,0.05222781357287306,5.86014944792268e-7,FALSE
s_i x dE/P_i,25-54,College,Female,0.04561537122135719,0.04561674069469636,1.3694733391675373e-6,FALSE
s_i x dE/P_i,55-64,Less than HS,Overall,-0.02077639371231163,-0.02077662453578167,2.3082347003905435e-7,FALSE
s_i x dE/P_i,55-64,Less than HS,Male,-0.01206446786764164,-0.012064148991205378,3.1887643626125894e-7,FALSE
s_i x dE/P_i,55-64,Less than HS,Female,-0.02829879559532932,-0.028298509341694776,2.8625363454257147e-7,FALSE
s_i x dE/P_i,55-64,HS,Overall,-0.02914093254587551,-0.029141036247523944,1.03701648435095e-7,FALSE
s_i x dE/P_i,55-64,HS,Male,-0.00412073890489133,-0.004119832573014156,9.063318771743503e-7,FALSE
s_i x dE/P_i,55-64,HS,Female,-0.04961191594249191,-0.049613860879759886,1.9449372679752885e-6,FALSE
s_i x dE/P_i,55-64,Some College,Overall,-0.01448918897334247,-0.014489614297532954,4.253241904852989e-7,FALSE
s_i x dE/P_i,55-64,Some College,Male,-0.00359386873290277,-0.0035930959883365464,7.727445662233587e-7,FALSE
s_i x dE/P_i,55-64,Some College,Female,-0.03692308290002879,-0.036922217457501114,8.654425276768962e-7,FALSE
s_i x dE/P_i,55-64,College,Overall,-0.02759112965730039,-0.02759081454494207,3.151123583212956e-7,FALSE
s_i x dE/P_i,55-64,College,Male,-0.02299785141609463,-0.022997695527442037,1.5588865259416607e-7,FALSE
s_i x dE/P_i,55-64,College,Female,-0.05502615327270604,-0.05502728349260181,1.1302198957702236e-6,FALSE
s_i x dE/P_i,65+,Less than HS,Overall,-0.03474603872579488,-0.034746888464941235,8.497391463524462e-7,FALSE
s_i x dE/P_i,65+,Less than HS,Male,-0.02833896708099485,-0.02833842825565536,5.388253394890408e-7,FALSE
s_i x dE/P_i,65+,Less than HS,Female,-0.0446705367506735,-0.04467253907617742,2.0023255039233745e-6,FALSE
s_i x dE/P_i,65+,HS,Overall,-0.05207798950559648,-0.05207857588387429,5.86378277808719e-7,FALSE
s_i x dE/P_i,65+,HS,Male,-0.02459367780403216,-0.02459295489817993,7.229058522316423e-7,FALSE
s_i x dE/P_i,65+,HS,Female,-0.09444296722576873,-0.09444376689235712,7.996665883913678e-7,FALSE
s_i x dE/P_i,65+,Some College,Overall,-0.0316019046592476,-0.031602078445393825,1.737861462236534e-7,FALSE
s_i x dE/P_i,65+,Some College,Male,-0.02136634232851907,-0.021366693317029572,3.5098851050227586e-7,FALSE
s_i x dE/P_i,65+,Some College,Female,-0.04953715881549728,-0.04953911158496047,1.9527694631940595e-6,FALSE
s_i x dE/P_i,65+,College,Overall,-0.03148640272616259,-0.03148724720816554,8.444820029512856e-7,FALSE
s_i x dE/P_i,65+,College,Male,-0.0257772138414053,-0.02577623101161642,9.828297888800352e-7,FALSE
s_i x dE/P_i,65+,College,Female,-0.05282438314135686,-0.052824146382724285,2.3675863257410779e-7,FALSE
(E/P_i - E/P) x ds_i,16-24,Not In School,Overall,-0.01275454799517248,-0.01275409673487816,4.5126029432109027e-7,FALSE
(E/P_i - E/P) x ds_i,16-24,Not In School,Male,0.00228864240014487,0.0022894229412594646,7.805411145946767e-7,FALSE
(E/P_i - E/P) x ds_i,16-24,Not In School,Female,0.04684135877328359,0.04684026862536049,1.0901479230995825e-6,FALSE
(E/P_i - E/P) x ds_i,16-24,In School,Overall,-0.02046431820958738,-0.020463448434249975,8.697753374059536e-7,FALSE
(E/P_i - E/P) x ds_i,16-24,In School,Male,-0.02667886509102499,-0.026679208013920888,3.429228958989894e-7,FALSE
(E/P_i - E/P) x ds_i,16-24,In School,Female,-0.02387291311014402,-0.02387256425488724,3.4885525678277074e-7,FALSE
(E/P_i - E/P) x ds_i,25-54,Less than HS,Overall,-0.04067013395006737,-0.04067113638558241,1.002435515040645e-6,FALSE
(E/P_i - E/P) x ds_i,25-54,Less than HS,Male,0.02831740634655441,0.02831773503268588,3.2868613146844194e-7,FALSE
(E/P_i - E/P) x ds_i,25-54,Less than HS,Female,-0.06543557121503492,-0.06543710633677315,1.5351217382275628e-6,FALSE
(E/P_i - E/P) x ds_i,25-54,HS,Overall,0.1258239767314211,0.12582371839204948,2.583393716171223e-7,FALSE
(E/P_i - E/P) x ds_i,25-54,HS,Male,0.1325298923855092,0.13252880590697452,1.0864785346675898e-6,FALSE
(E/P_i - E/P) x ds_i,25-54,HS,Female,0.3939393995937869,0.39394058611315486,1.1865193679794217e-6,FALSE
(E/P_i - E/P) x ds_i,25-54,Some College,Overall,0.09111615361997838,0.09111597693979971,1.7668017866789842e-7,FALSE
(E/P_i - E/P) x ds_i,25-54,Some College,Male,0.09147145714024642,0.09147157033344304,1.1319319662139726e-7,FALSE
(E/P_i - E/P) x ds_i,25-54,Some College,Female,0.2373692137644012,0.2373722868956619,3.073131260689088e-6,FALSE
(E/P_i - E/P) x ds_i,25-54,College,Overall,-0.10136091701885357,-0.10135944526073214,1.4717581214296338e-6,FALSE
(E/P_i - E/P) x ds_i,25-54,College,Male,-0.02172726329620885,-0.021727884117951367,6.208217425175688e-7,FALSE
(E/P_i - E/P) x ds_i,25-54,College,Female,-0.3993750632092964,-0.3993776137664598,2.550557163416567e-6,FALSE
(E/P_i - E/P) x ds_i,55-64,Less than HS,Overall,-0.03891759490826629,-0.03891735021700493,2.446912613571217e-7,FALSE
(E/P_i - E/P) x ds_i,55-64,Less than HS,Male,-0.01732321755581443,-0.01732399002962893,7.7247381449763175e-07,FALSE
(E/P_i - E/P) x ds_i,55-64,Less than HS,Female,-0.05642990949523531,-0.05643178340014874,1.8739049134283703e-6,FALSE
(E/P_i - E/P) x ds_i,55-64,HS,Overall,0.04626910065996981,0.0462691592004614,5.854049159315089e-8,FALSE
(E/P_i - E/P) x ds_i,55-64,HS,Male,0.02661884086926865,0.026619009547100596,1.6867783194512986e-7,FALSE
(E/P_i - E/P) x ds_i,55-64,HS,Female,0.01847595137076779,0.018474878335687287,1.0730350805017441e-6,FALSE
(E/P_i - E/P) x ds_i,55-64,Some College,Overall,0.07251792996552993,0.07251853611050937,6.061449794453333e-7,FALSE
(E/P_i - E/P) x ds_i,55-64,Some College,Male,0.02457994011709085,0.02457978648356299,1.536335278579104e-7,FALSE
(E/P_i - E/P) x ds_i,55-64,Some College,Female,0.04909615710800599,0.04909454998957446,1.6071184315291642e-6,FALSE
(E/P_i - E/P) x ds_i,55-64,College,Overall,0.03114164515668934,0.03114275349648068,1.1083397913405624e-6,FALSE
(E/P_i - E/P) x ds_i,55-64,College,Male,-0.00273108752898126,-0.0027315054319710288,4.17902989768848e-7,FALSE
(E/P_i - E/P) x ds_i,55-64,College,Female,-0.02672340952916826,-0.026724839977496535,1.4304483282739922e-6,FALSE
(E/P_i - E/P) x ds_i,65+,Less than HS,Overall,-0.39354180942624734,-0.3935396989855704,2.110440676938996e-6,FALSE
(E/P_i - E/P) x ds_i,65+,Less than HS,Male,-0.22852682019616025,-0.22852654846446877,2.7173169148131393e-7,FALSE
(E/P_i - E/P) x ds_i,65+,Less than HS,Female,-0.5509518093297473,-0.5509534469260339,1.6375962865744498e-6,FALSE
(E/P_i - E/P) x ds_i,65+,HS,Overall,0.14039796684157127,0.14039684631665755,1.120524913716947e-6,FALSE
(E/P_i - E/P) x ds_i,65+,HS,Male,0.1197467450593953,0.11974603771810184,7.073412934543999e-7,FALSE
(E/P_i - E/P) x ds_i,65+,HS,Female,0.13254063931471827,0.13254230219959642,1.6628848781563565e-6,FALSE
(E/P_i - E/P) x ds_i,65+,Some College,Overall,0.30345201302931957,0.303451983579133,2.945018656719256e-8,FALSE
(E/P_i - E/P) x ds_i,65+,Some College,Male,0.19012342752834568,0.1901236890372948,2.615089491064815e-7,FALSE
(E/P_i - E/P) x ds_i,65+,Some College,Female,0.3875356172511318,0.3875357518008681,1.3454973629700717e-7,FALSE
(E/P_i - E/P) x ds_i,65+,College,Overall,0.46736815522801894,0.46736574531997455,2.4099080443984455e-6,FALSE
(E/P_i - E/P) x ds_i,65+,College,Male,0.304118940533416,0.30411889197197,4.85614459755368e-8,FALSE
(E/P_i - E/P) x ds_i,65+,College,Female,0.596203682391935,0.5962082436669647,4.561275029679734e-6,FALSE
ds_i x dE/P_i,16-24,Not In School,Overall,-0.02040968505091851,-0.020408642616481933,1.0424344365767002e-6,FALSE
ds_i x dE/P_i,16-24,Not In School,Male,-0.02339337902075105,-0.02339274796595024,6.310548008106598e-7,FALSE
ds_i x dE/P_i,16-24,Not In School,Female,-0.01018689727359585,-0.010185574959773082,1.322313822767901e-6,FALSE
ds_i x dE/P_i,16-24,In School,Overall,-0.00494651069977593,-0.004945572603354637,9.380964212934995e-7,FALSE
ds_i x dE/P_i,16-24,In School,Male,-0.00955847478331178,-0.009558387809810467,8.69735013141193e-8,FALSE
ds_i x dE/P_i,16-24,In School,Female,0.00207521431852344,0.002073309387331176,1.9049311922639776e-6,FALSE
ds_i x dE/P_i,25-54,Less than HS,Overall,-0.00978379449908239,-0.00978414337201928,3.4887293689014887e-7,FALSE
ds_i x dE/P_i,25-54,Less than HS,Male,-0.00588217077493068,-0.005882518929596011,3.481546653307313e-7,FALSE
ds_i x dE/P_i,25-54,Less than HS,Female,-0.03096225391528278,-0.03096194474060029,3.091746824876451e-7,FALSE
ds_i x dE/P_i,25-54,HS,Overall,-0.08262004600069585,-0.08262107518575254,1.029185056691806e-6,FALSE
ds_i x dE/P_i,25-54,HS,Male,-0.04225105306142588,-0.042251798899496776,7.45838070893845e-7,FALSE
ds_i x dE/P_i,25-54,HS,Female,-0.20771701831601597,-0.20771648772734616,5.305886698059314e-7,FALSE
ds_i x dE/P_i,25-54,Some College,Overall,-0.02526720770025251,-0.02526809179191536,8.84091662850528e-7,FALSE
ds_i x dE/P_i,25-54,Some College,Male,-0.01473179641077335,-0.01473169355217984,1.0285859350887827e-7,FALSE
ds_i x dE/P_i,25-54,Some College,Female,-0.0457141670518702,-0.04571509502995876,9.279780885593225e-7,FALSE
ds_i x dE/P_i,25-54,College,Overall,0.00999222835986572,0.009992927439707072,6.990798413521182e-7,FALSE
ds_i x dE/P_i,25-54,College,Male,0.00348708450826959,0.0034877486714010248,6.641631314346225e-7,FALSE
ds_i x dE/P_i,25-54,College,Female,0.01256773151149022,0.01256968404653341,1.952535043189818e-6,FALSE
