year,gender,age,emp,pop,epop
1965,All,16-24,12738,25372,0.5020495033895633
1966,All,16-24,13685,26230,0.5217308425467022
1967,All,16-24,14181,26901,0.5271551243448199
1968,All,16-24,14543,27589,0.5271303780492225
1969,All,16-24,15436,28583,0.5400412832802715
1970,All,16-24,15875,29842,0.5319683667314523
1971,All,16-24,16409,31367,0.5231294035132464
1972,All,16-24,17745,32653,0.5434416439530824
1973,All,16-24,19110,33532,0.5699033758797567
1974,All,16-24,19549,34174,0.5720430736817463
1975,All,16-24,18989,35013,0.5423414160454688
1976,All,16-24,19906,35723,0.5572320353833664
1977,All,16-24,20884,36270,0.5757926661152467
1978,All,16-24,21957,36702,0.59825077652444
1979,All,16-24,22410,37010,0.6055120237773575
1980,All,16-24,21797,37178,0.5862875894346119
1981,All,16-24,21347,37034,0.576416266133823
1982,All,16-24,20239,36608,0.552857298951049
1983,All,16-24,20064,36073,0.556205472236853
1984,All,16-24,20651,35423,0.5829828077802558
1985,All,16-24,20414,34603,0.5899488483657487
1986,All,16-24,20262,34065,0.59480405107882
1987,All,16-24,20164,33576,0.6005480104836788
1988,All,16-24,20049,32961,0.6082643123691636
1989,All,16-24,19721,32248,0.6115418010419251
1990,All,16-24,19982,33422,0.5978696666866136
1991,All,16-24,18881,33036,0.5715280300278484
1992,All,16-24,18541,32686,0.5672459156825552
1993,All,16-24,18645,32577,0.5723363108941891
1994,All,16-24,18919,32549,0.58124673569080465
1995,All,16-24,18862,32375,0.5826100386100386
1996,All,16-24,18638,32343,0.5762607055622546
1997,All,16-24,19041,32807,0.5803944280184107
1998,All,16-24,19608,33237,0.5899449408791407
1999,All,16-24,20063,34008,0.58994942366502
2000,All,16-24,20418,34223,0.596616310668264
2001,All,16-24,20088,34806,0.5771418720910187
2002,All,16-24,19683,35342,0.5569294324033728
2003,All,16-24,19352,35897,0.5390979747611221
2004,All,16-24,19630,36419,0.5390043658529888
2005,All,16-24,19770,36674,0.539074003381142
2006,All,16-24,20040,36943,0.5424572990823702
2007,All,16-24,19875,37409,0.5312892619423133
2008,All,16-24,19202,37484,0.5122719026784761
2009,All,16-24,17601,37567,0.46852290574174144
2010,All,16-24,17077,37948,0.45001054073995994
2011,All,16-24,17363,38197,0.45456449459381626
2012,All,16-24,17834,38783,0.45984065183198825
2013,All,16-24,18057,38839,0.4649192821648343
2014,All,16-24,18442,38712,0.47638974994833644
2015,All,16-24,18756,38590,0.4860326509458409
2016,All,16-24,18992,38435,0.4941329517366983
2017,All,16-24,19206,38150,0.5034338138925295
2018,All,16-24,19177,38004,0.5046047784443742
1965,All,25-54,45318,66977,0.6766203323528973
1966,All,25-54,45944,67099,0.6847195934365639
1967,All,25-54,46645,67626,0.6897495046283973
1968,All,25-54,47568,68482,0.6946058818375631
1969,All,25-54,48393,69160,0.6997252747252747
1970,All,25-54,48713,69983,0.6960690453395825
1971,All,25-54,48907,70855,0.6902406322771858
1972,All,25-54,50361,72436,0.6952482191175658
1973,All,25-54,52103,73890,0.7051427798078225
1974,All,25-54,53446,75478,0.7081003736188028
1975,All,25-54,53230,76771,0.6933607742506936
1976,All,25-54,55185,78158,0.7060697561350086
1977,All,25-54,57219,79610,0.7187413641502324
1978,All,25-54,59747,81167,0.736099646408023
1979,All,25-54,61830,82874,0.7460723507975964
1980,All,25-54,62961,84699,0.7433499805192505
1981,All,25-54,64580,86490,0.7466759162909007
1982,All,25-54,64951,88367,0.7350142021342809
1983,All,25-54,66528,90246,0.7371850275912506
1984,All,25-54,70124,92476,0.7582940438600285
1985,All,25-54,72449,94467,0.7669238993510962
1986,All,25-54,75011,97013,0.7732056528506489
1987,All,25-54,77771,99235,0.7837053458961052
1988,All,25-54,80290,101399,0.7918224045602028
1989,All,25-54,82767,103566,0.7991715427843115
1990,All,25-54,84277,105776,0.7967497352896687
1991,All,25-54,84536,107513,0.7862863095625645
1992,All,25-54,85612,109336,0.7830174873783566
1993,All,25-54,87226,111053,0.7854447876239273
1994,All,25-54,89233,112618,0.7923511339217532
1995,All,25-54,90936,114026,0.7975023240313612
1996,All,25-54,92642,115505,0.802060516860742
1997,All,25-54,94461,116833,0.8085130057432404
1998,All,25-54,95259,117450,0.8110600255427841
1999,All,25-54,96228,118198,0.8141254505152371
2000,All,25-54,98292,120657,0.814639846838559
