age_group,education,E/P_1999,E/P_2018,dEP_99_18,s_1999,s_2018,ds_99_18
16-24,NA,0.5899678063534889,0.5045993266255826,-0.08536847972790629,0.16369022069831268,0.14742193232763762,-0.016268288370675066
25-34,NA,0.812748634825037,0.7923652011376231,-0.02038343368741391,0.18279637140395802,0.17293490535831685,-0.00986146604564117
35-44,NA,0.8228439524338977,0.8039684449953173,-0.018875507438580463,0.21484730374252148,0.15737311431576967,-0.05747418942675181
45-54,NA,0.8046542723373449,0.7849318468580195,-0.019722425479325345,0.17129288594443245,0.15992717960764866,-0.011365706336783798
55-64,NA,0.577315459224082,0.6310115212452929,0.05369606202121091,0.11101568519114204,0.16335396914577316,0.052338283954631123
65+,NA,0.11949814732536235,0.1892846241158827,0.06978647679052036,0.1563575330196334,0.1989888992448541,0.04263136622522071
16-24,Not In School,0.725784601984246,0.7046561537281906,-0.02112844825605542,0.08515686686572463,0.06888052650326099,-0.016276340362463643
16-24,In School,0.4426962049353492,0.32915021877267786,-0.11354598616267136,0.07853335383259609,0.07854140582437548,8.051991779389756e-6
25-34,Less than HS,0.6502944405014044,0.605938862964911,-0.04435557753649344,0.02218324278383041,0.01299393602762096,-0.009189306756209449
25-34,HS,0.7974077256523323,0.7384249451302775,-0.058982780522054856,0.05634555874307213,0.04509322785799164,-0.011252330885080486
25-34,Some College,0.8349360360745326,0.7955514369232303,-0.039384599151302324,0.05091600060338026,0.04796373141790489,-0.0029522691854753716
25-34,College,0.8753233489887849,0.8626649395299624,-0.012658409458822573,0.05335156927367306,0.06688401005479971,0.013532440781126656
35-44,Less than HS,0.6626779144987425,0.6574458955647153,-0.005232018934027138,0.024737661716586763,0.015371463977723748,-0.009366197738863016
35-44,HS,0.8135272299332271,0.7515150623755098,-0.062012167557717324,0.07230198915286536,0.03901905448897404,-0.03328293466389132
35-44,Some College,0.8449522293393884,0.8110878424898622,-0.033864386849526196,0.058902844037260364,0.0399497735413946,-0.018953070495865768
35-44,College,0.8794354347508085,0.867657948660827,-0.011777486089981526,0.058904808835806524,0.06303282230767827,0.00412801347187175
45-54,Less than HS,0.594866518691627,0.6168299828761188,0.0219634641844918,0.019523975273667546,0.015697919713606224,-0.003826055560061322
45-54,HS,0.7713120910481888,0.7344515639171997,-0.036860527130989085,0.053139268243437,0.044291791922077384,-0.00884747632135962
45-54,Some College,0.8331842332214631,0.7919432373953462,-0.041240995826116844,0.046728378141825254,0.04169597269314837,-0.005032405448676884
45-54,College,0.8920223026175543,0.8636105446207734,-0.028411757996780973,0.051901264285504976,0.05824149527881341,0.006340230993308431
55-64,Less than HS,0.4079230365449886,0.4525782289293907,0.044655192384402076,0.02066311904703824,0.01621888125507716,-0.00444423779196108
55-64,HS,0.5543867565963193,0.5809047135063871,0.026517956910067753,0.04041899174587984,0.05081927076005723,0.010400279014177394
55-64,Some College,0.6195430788107356,0.628718609048028,0.00917553023729245,0.02419206779278724,0.04403493844837202,0.019842870655584783
55-64,College,0.7096059834023155,0.737003390482608,0.02739740708029248,0.025741506605436854,0.052280878682266795,0.02653937207682994
65+,Less than HS,0.07097685133281119,0.10007031070044191,0.02909345936763072,0.04928918049918729,0.025982248222065428,-0.023306932277121863
65+,HS,0.11341349843462838,0.14702152546941671,0.03360802703478834,0.054850557949902,0.06355108834182449,0.008700530391922492
65+,Some College,0.14367806637741537,0.19834009706923003,0.05466203069181466,0.027959928629646667,0.04912230309609727,0.0211623744664506
65+,College,0.20397600274946867,0.2648487274989526,0.060872724749483936,0.02425786594089161,0.060333259584869854,0.03607539364397824
TOTAL,NA,0.6425323256072876,0.6042153388720055,-0.038316986735282055,1,1,0
