age_group,education,E/P_1999,E/P_2018,dEP_99_18,s_1999,s_2018,ds_99_18
16-24,NA,0.6102203677148872,0.5057965722382829,-0.1044237954766043,0.17113147397776207,0.153454369566134,-0.017677104411628064
25-34,NA,0.8992057227141691,0.8568647798618443,-0.042340942852324814,0.18617185739488845,0.17809748940992123,-0.008074367984967218
35-44,NA,0.9017659259615742,0.8833834438461415,-0.018382482115432697,0.22030092126380801,0.15987250091439775,-0.06042842034941026
45-54,NA,0.8647589289232188,0.8451908548141748,-0.019568074109044042,0.17383569558200648,0.16162715477532547,-0.012208540806681017
55-64,NA,0.6607847987715381,0.6912137619839703,0.03042896321243227,0.11038676390772757,0.16251372622851326,0.05212696232078569
65+,NA,0.16421412953225195,0.23263879783842384,0.06842466830617189,0.13817328787380748,0.18443475910570836,0.046261471231900886
16-24,Not In School,0.7778911507716694,0.7271591310888487,-0.050732019682820706,0.08993971889819735,0.07476796903121477,-0.015171749866982581
16-24,In School,0.42448398252666497,0.2954574433380634,-0.12902653918860157,0.08119175507956379,0.07868640053491764,-0.002505354544646149
25-34,Less than HS,0.8151634395373503,0.7481555586525181,-0.06700788088483212,0.024127520020730975,0.014780974288850054,-0.009346545731880922
25-34,HS,0.8919140696141526,0.8232397589699341,-0.06867431064421858,0.060328855690077246,0.052637853563820225,-0.007691002126257021
25-34,Some College,0.9133436286024906,0.8573705644220059,-0.055973064180484755,0.04921104127960168,0.047968169527386445,-0.001242871752215234
25-34,College,0.9329531138609705,0.9103249818376421,-0.022628132023328362,0.05250444040447985,0.06271049202986193,0.010206051625382073
35-44,Less than HS,0.7779271308856713,0.8051786818613904,0.027251550975719074,0.026782914656093632,0.017165581186889378,-0.009617333469204254
35-44,HS,0.890814926384312,0.8378896661951499,-0.052925260189162104,0.0755606893609094,0.044400393093051105,-0.031160296267858295
35-44,Some College,0.9176128579968316,0.884558143839813,-0.03305471415701855,0.05590957256889401,0.039199705968774416,-0.016709866600119597
35-44,College,0.9542776453991821,0.9394907402687781,-0.014786905130404038,0.06204774467790653,0.05910682066568551,-0.0029409240122210203
45-54,Less than HS,0.6995098285142733,0.7166561645215147,0.01714633600724136,0.019955779361360684,0.017144642438341486,-0.002811136923019198
45-54,HS,0.8401327830656411,0.8019046329896105,-0.03822815007603064,0.0492408596119163,0.04837074045626034,-8.701191556559629e-4
45-54,Some College,0.8759056696786456,0.8465459529112868,-0.029359716767358823,0.04735887635521209,0.04010313384712111,-0.0072557425080909815
45-54,College,0.9342836762887832,0.9209492445162757,-0.013334431772507482,0.057280180253520115,0.05600863803360653,-0.0012715422199135878
55-64,Less than HS,0.5142062569320883,0.5552552792583753,0.04104902232628693,0.020393031244353304,0.016807821769600752,-0.003585209474752552
55-64,HS,0.6396684461501798,0.6438761952889273,0.004207749138747441,0.03588480755024424,0.052327015342585416,0.01644220779234118
55-64,Some College,0.6813639388062943,0.6761946210613221,-0.005169317744972202,0.023455795244465852,0.04121685459797796,0.01776105935351211
55-64,College,0.7672743139527861,0.7943777072122312,0.027103393259445108,0.03065312986866537,0.052162034518347104,0.021508904649681734
65+,Less than HS,0.10363309336541286,0.13855286041914314,0.034919767053730275,0.042998062602410625,0.02318846802645954,-0.019809594575951085
65+,HS,0.1534591105277502,0.1861475235863919,0.0326884130586417,0.04129017076743647,0.052697565776130925,0.011407395008694456
65+,Some College,0.18333297998481476,0.2382047683820727,0.054871788397257926,0.024596924524520697,0.044224346231008675,0.01962742170648798
65+,College,0.2522593149762148,0.3008172146273266,0.04855789965111179,0.02928812997943959,0.06432437907210856,0.03503624909266896
TOTAL,NA,0.7164524464985194,0.6632950784368701,-0.05315736806164928,1,1,0
